,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
297,0.814,0.782,9,-6.005,1,0.218,0.0227,0.00167,0.0956,0.683,150.011,audio_features,2epGMZt9GFdH1etwMbQcFm,spotify:track:2epGMZt9GFdH1etwMbQcFm,https://api.spotify.com/v1/tracks/2epGMZt9GFdH1etwMbQcFm,https://api.spotify.com/v1/audio-analysis/2epGMZt9GFdH1etwMbQcFm,268480,4
298,0.647,0.897,7,-5.148,0,0.205,0.0345,0.0,0.101,0.727,120.918,audio_features,0rdKfiOK6AChv87cdpUYlm,spotify:track:0rdKfiOK6AChv87cdpUYlm,https://api.spotify.com/v1/tracks/0rdKfiOK6AChv87cdpUYlm,https://api.spotify.com/v1/audio-analysis/0rdKfiOK6AChv87cdpUYlm,214373,4
299,0.822,0.726,1,-4.952,0,0.0316,0.0252,2.87e-05,0.241,0.71,118.987,audio_features,296n47vwgYqvJkmOGgk0Id,spotify:track:296n47vwgYqvJkmOGgk0Id,https://api.spotify.com/v1/tracks/296n47vwgYqvJkmOGgk0Id,https://api.spotify.com/v1/audio-analysis/296n47vwgYqvJkmOGgk0Id,242333,4
300,0.68,0.876,1,-3.646,0,0.0577,0.246,0.000187,0.0788,0.816,187.785,audio_features,3WUbVS0J4Ulf0XZR6LNRnh,spotify:track:3WUbVS0J4Ulf0XZR6LNRnh,https://api.spotify.com/v1/tracks/3WUbVS0J4Ulf0XZR6LNRnh,https://api.spotify.com/v1/audio-analysis/3WUbVS0J4Ulf0XZR6LNRnh,175360,4
301,0.648,0.942,10,-2.881,0,0.0878,0.021,0.0,0.0594,0.73,129.007,audio_features,7HacCTm33hZYYN8DXpCYuG,spotify:track:7HacCTm33hZYYN8DXpCYuG,https://api.spotify.com/v1/tracks/7HacCTm33hZYYN8DXpCYuG,https://api.spotify.com/v1/audio-analysis/7HacCTm33hZYYN8DXpCYuG,231373,4
302,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,audio_features,47TqCCnEliDp8NRDyIQoQq,spotify:track:47TqCCnEliDp8NRDyIQoQq,https://api.spotify.com/v1/tracks/47TqCCnEliDp8NRDyIQoQq,https://api.spotify.com/v1/audio-analysis/47TqCCnEliDp8NRDyIQoQq,219120,4
303,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,audio_features,2QsZVnbWVSjKMXK6K3uRBL,spotify:track:2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/tracks/2QsZVnbWVSjKMXK6K3uRBL,https://api.spotify.com/v1/audio-analysis/2QsZVnbWVSjKMXK6K3uRBL,266893,4
304,0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,audio_features,12eMQUn2GzfsfsQLH53M19,spotify:track:12eMQUn2GzfsfsQLH53M19,https://api.spotify.com/v1/tracks/12eMQUn2GzfsfsQLH53M19,https://api.spotify.com/v1/audio-analysis/12eMQUn2GzfsfsQLH53M19,234693,4
305,0.854,0.674,11,-4.896,1,0.0705,0.0204,0.0,0.101,0.818,125.845,audio_features,6A5NlmBCsCGbJ27jHQgKV5,spotify:track:6A5NlmBCsCGbJ27jHQgKV5,https://api.spotify.com/v1/tracks/6A5NlmBCsCGbJ27jHQgKV5,https://api.spotify.com/v1/audio-analysis/6A5NlmBCsCGbJ27jHQgKV5,210800,4
306,0.423,0.714,11,-8.295,1,0.045,0.00113,6.28e-06,0.0855,0.593,110.017,audio_features,1AdYZ6X00nXmO613Y7GJOl,spotify:track:1AdYZ6X00nXmO613Y7GJOl,https://api.spotify.com/v1/tracks/1AdYZ6X00nXmO613Y7GJOl,https://api.spotify.com/v1/audio-analysis/1AdYZ6X00nXmO613Y7GJOl,227250,4
